Date,Close,daily_return_pct,volume,volume_current_inclusive_20d
2025-07-22,260.91876220703125,,5001400,
2025-07-23,264.5119323730469,1.3771221876196726,5620700,
2025-07-24,264.98712158203125,0.17964755114117104,5877100,
2025-07-25,266.38275146484375,0.5266783813795417,4015400,
2025-07-28,267.5112609863281,0.423642114693501,4533700,
2025-07-29,264.68023681640625,-1.0582822418330085,5137100,
2025-07-30,262.1263732910156,-0.964886368589013,3928200,
2025-07-31,255.7120361328125,-2.447039982154664,7340300,
2025-08-01,248.198974609375,-2.938094599323182,7646900,
2025-08-04,249.76295471191406,0.6301315728642676,4403500,
2025-08-05,244.9818878173828,-1.9142418058137989,6761000,
2025-08-06,246.6448516845703,0.6788109447614099,5834700,
2025-08-07,238.4388885498047,-3.327036051520782,10010200,
2025-08-08,238.07261657714844,-0.1536125146715528,8812000,
2025-08-11,230.32196044921875,-3.255584888074703,10740100,
2025-08-12,229.31231689453125,-0.4383618273821166,13178000,
2025-08-13,234.62786865234375,2.3180402299355363,10209200,
2025-08-14,231.00497436523438,-1.5441022875579802,7544800,
2025-08-15,239.9830780029297,3.8865412584147663,12942800,
2025-08-18,241.49755859375,0.6310780757640799,8809200,1.187653483774115
2025-08-19,243.50698852539062,0.8320704951808366,8642200,1.1372280937000574
2025-08-20,243.95242309570312,0.18292475834469357,8195100,1.0604322551217475
2025-08-21,243.33871459960938,-0.25156892819752086,5646800,0.731776853934914
2025-08-22,245.7737579345703,1.0006806105504307,6694300,0.8527222134117487
2025-08-25,245.35804748535156,-0.1691435459636903,4957700,0.6298127279922202
2025-08-26,241.2698974609375,-1.6661976512745702,8862300,1.0998186266631835
2025-08-27,247.6248321533203,2.6339525814287335,6506900,0.7947941223173607
2025-08-28,251.95053100585938,1.7468760361887936,8461200,1.0264777940408434
2025-08-29,253.6531219482422,0.6757639825506923,7363200,0.8948128272060432
2025-09-02,250.29747009277344,-1.3229294517232315,9312500,1.0989224954302526
2025-09-03,253.8511199951172,1.419770603764614,17417900,1.9338063329245796
2025-09-04,241.53713989257812,-4.8508669580720865,30967500,3.0171882543275106
2025-09-05,248.21873474121094,2.766280519676778,13029400,1.2510640054807385
2025-09-08,249.7134552001953,0.6021787438980963,12602200,1.188419833150465
2025-09-09,249.5055694580078,-0.08324971596778141,10901900,1.027293445172586
2025-09-10,240.1117401123047,-3.7649778183745597,11363600,1.0800325237714838
2025-09-11,243.78416442871094,1.5294647045115628,6944900,0.6704658670517999
2025-09-12,240.29981994628906,-1.4292743298512267,8386400,0.8063536017845467
2025-09-15,240.06227111816406,-0.09885518356946843,7244600,0.7161887362846486
2025-09-16,236.88478088378906,-1.3236108362946197,8779800,0.8680821275813179
2025-09-17,240.17288208007812,1.3880592852025142,10124000,0.9937073706506899
2025-09-18,242.22547912597656,0.8546331409780228,9344400,0.9120425159154074
2025-09-19,245.01182556152344,1.15031104308303,11813900,1.1193839640778365
2025-09-22,247.58998107910156,1.0522575845755444,7523800,0.7101002746001687
2025-09-23,242.5031280517578,-2.054547201455037,7669800,0.7147323504497712
2025-09-24,243.82192993164062,0.5438288118086998,6707100,0.6313604593697786
2025-09-25,238.92347717285156,-2.009028785951461,8145500,0.7608933245400825
2025-09-26,241.38262939453125,1.0292635327337818,4974600,0.47238352079841606
2025-09-29,243.03858947753906,0.686031172649626,6373500,0.6080791957917695
2025-09-30,235.0067138671875,-3.3047737923503018,10801100,1.02323889389667
2025-10-01,233.7077178955078,-0.5527484514394776,10016600,0.9833953972862034
2025-10-02,236.87091064453125,1.353482365711911,7679200,0.8512284517279355
2025-10-03,238.3384552001953,0.6195545715895756,8849800,1.0042514271189191
2025-10-06,243.71286010742188,2.254946606376329,13922600,1.5681508567747067
2025-10-07,237.72366333007812,-2.4574808135704784,8387400,0.9582719708247692
2025-10-08,238.40785217285156,0.28780847189935344,7120200,0.8337021659254887
2025-10-09,243.2666473388672,2.038018094510119,7929100,0.9230971620562839
2025-10-10,239.6473388671875,-1.4877947763377697,7988300,0.9321492479665429
2025-10-13,246.65789794921875,2.9253648778952313,8276500,0.959999350450509
2025-10-14,237.75340270996094,-3.6100588358581764,9123900,1.0561823636217358
2025-10-15,234.59024047851562,-1.3304382588812391,8389200,0.9809835912217567
2025-10-16,243.93101501464844,3.9817404667302325,24869700,2.666108495951476
2025-10-17,241.03558349609375,-1.1869878532587586,10851200,1.169316015002228
2025-10-20,252.14138793945312,4.607537311410859,9963900,1.059768388718948
2025-10-21,261.194580078125,3.5905220529863335,13354700,1.3787339830201817
2025-10-22,254.48155212402344,-2.5701252882405323,9370000,0.9542383151634273
2025-10-23,252.9049072265625,-0.6195517452253441,6110100,0.6287676561448426
2025-10-24,252.68675231933594,-0.08625965767882215,5490800,0.5635410262752492
2025-10-27,253.32135009765625,0.251140106276071,4942400,0.5110095447244499
2025-10-28,252.1215362548828,-0.47363313132150475,6435600,0.6807594176162207
2025-10-29,249.3450927734375,-1.1012321766270983,7904200,0.8455552774194101
2025-10-30,254.49143981933594,2.0639455898875614,7767800,0.8305702190995438
2025-10-31,258.2198181152344,1.4650309254194305,6878300,0.7432950481397091
2025-11-03,259.14202880859375,0.35714171750667045,7054300,0.7916946303075738
2025-11-04,252.300048828125,-2.6402432719712765,6792200,0.7691645660214118
2025-11-05,250.55484008789062,-0.6917195412131205,5241200,0.599908203010987
2025-11-06,237.2576141357422,-5.307111986934276,11041800,1.2417252894496984
2025-11-07,237.86248779296875,0.2549438337015708,5741500,0.6539319917562314
2025-11-10,239.67710876464844,0.7628865688393383,6486600,0.7464038193561453
2025-11-11,242.44363403320312,1.154271796257067,5762800,0.6761933090561771
2025-11-12,243.95083618164062,0.6216711585139256,4278200,0.5144005583834774
2025-11-13,238.40785217285156,-2.272172580159504,5542100,0.7539774586302809
2025-11-14,241.61068725585938,1.3434268434605379,5512900,0.7782657614733813
2025-11-17,235.03643798828125,-2.7210092989869095,5280900,0.7709995882863074
2025-11-18,231.53614807128906,-1.4892541543565674,8045100,1.2219279033527037
2025-11-19,225.9634246826172,-2.406848103457282,9710700,1.4711008601002125
2025-11-20,223.47451782226562,-1.1014644798588158,7521100,1.1273434484619334
2025-11-21,225.19989013671875,0.7720666907648832,7479300,1.104616043538942
2025-11-24,224.912353515625,-0.1276806222770266,8563300,1.231775914683483
2025-11-25,232.1509246826172,3.218396434809123,10233000,1.4328190185616783
2025-11-26,226.23114013671875,-2.5499724172934557,8506600,1.1860872547837176
2025-11-28,228.6010284423828,1.0475517668486534,3691500,0.5297660648348131
2025-12-01,230.8717803955078,0.9933253444208923,5634700,0.8159148796913983
2025-12-02,232.73597717285156,0.8074597831533081,7626200,1.09973415856897
2025-12-03,236.71224975585938,1.7084907246869951,13782000,1.892072775197949
2025-12-04,245.3787384033203,3.6611914492804543,20912100,2.5921027514930053
2025-12-05,258.3784484863281,5.297814377723564,15852400,1.9080541396099011
2025-12-08,257.34722900390625,-0.3991120344839616,10805400,1.2621147728540316
2025-12-09,258.8246765136719,0.5741066323054156,8045900,0.9313128016010538
2025-12-10,261.9779357910156,1.218299321308014,8894700,1.0112319312225404
2025-12-11,260.1435241699219,-0.7002160756610754,7783800,0.867644575382182
2025-12-12,260.0245361328125,-0.04573938078568096,6006600,0.6678147871844846
2025-12-15,252.43885803222656,-2.917293196020321,10271800,1.112587200123912
2025-12-16,252.76608276367188,0.12962534135831927,6145300,0.6625249647595971
2025-12-17,255.9689178466797,1.2671142615294562,6269000,0.6823943562318421
2025-12-18,256.09405517578125,0.04888770486444205,5654200,0.6293671655380794
2025-12-19,258.1400451660156,0.7989213138235529,20732100,2.1496304368450603
2025-12-22,262.827880859375,1.8160048319293187,5664200,0.59287776305405
2025-12-23,261.6360168457031,-0.4534770092787799,4745100,0.506801896435159
2025-12-24,263.4535827636719,0.6946925503152901,2076600,0.23189253836679133
2025-12-26,264.26800537109375,0.30913324422405797,2456400,0.28389482808436867
2025-12-29,264.4169616699219,0.056365619674214607,4300100,0.49523605511042934
2025-12-30,264.109130859375,-0.11641870801433196,3291800,0.38429636046200083
2025-12-31,263.1059875488281,-0.37982151820453725,3367900,0.40320273151623337
2026-01-02,251.8928680419922,-4.2618260463399675,9680600,1.188124401678981
2026-01-05,254.514892578125,1.0409284536375685,6421500,0.8650500385948511
2026-01-06,261.1096496582031,2.5911085254289423,6103300,0.879968684285841
2026-01-07,264.3077392578125,1.224807127502081,5976200,0.8927223011029441
2026-01-08,258.7557678222656,-2.1005708917707255,5243500,0.8000170881880189
2026-01-09,258.1697998046875,-0.2264560216414635,5174400,0.812534742832377
2026-01-12,257.63348388671875,-0.20773766659558657,4927700,0.7915456238660394
2026-01-13,239.41839599609375,-7.070155484383456,13661000,2.067300380515834
2026-01-14,237.9385528564453,-0.6180991788419576,10149300,1.537304548160333
2026-01-15,231.93966674804688,-2.521191306067039,11489600,1.6726195458730788
2026-01-16,225.56338500976562,-2.7491122271929957,13902600,1.917360660496862
2026-01-20,218.5713348388672,-3.099816120686305,13050800,1.7125382262996942
2026-01-21,220.07106018066406,0.6861491434375422,12616600,1.7486722033108986
2026-01-22,226.53671264648438,2.9379839677749597,9483000,1.2804655747444604
2026-01-23,226.4969940185547,-0.017532976207557116,9408000,1.2315675585102588
2026-01-26,227.83778381347656,0.5919680306273989,7239600,0.9167305606610955
2026-01-27,226.97372436523438,-0.37924326412407394,9838400,1.1901825424812447
2026-01-28,226.40760803222656,-0.2494193257792432,8465900,0.9989751710555738
2026-01-29,212.62213134765625,-6.088786858526463,18555600,2.0086655065749057
2026-01-30,210.8443145751953,-0.836139098593669,11090400,1.1523810513409325
2026-02-02,209.3743896484375,-0.6971612821144335,7950900,0.8336535633607219
2026-02-03,195.0426788330078,-6.845016164342832,20194200,1.9747800959314692
2026-02-04,198.08181762695312,1.55819167995912,23010000,2.0783307598823453
2026-02-05,188.6763153076172,-4.748291605971266,21956300,1.84966964017189
2026-02-06,190.0469207763672,0.7264321791081052,13652600,1.1107942537718114
2026-02-09,192.7086639404297,1.4005715815804454,12112000,0.9584003449988032
2026-02-10,192.1326141357422,-0.29892262906537903,13393000,1.0254199719929347
2026-02-11,183.7401580810547,-4.368053853032061,16350200,1.239078621797665
2026-02-12,184.16722106933594,0.23242768088447274,16849100,1.2452736200744396
2026-02-13,188.42800903320312,2.3135430610983,14822900,1.0821921858670136
2026-02-17,183.0349884033203,-2.8621119851308885,13692900,1.0004588422853853
2026-02-18,186.5111541748047,1.8991810264300968,9852900,0.72840247731805
2026-02-19,184.02816772460938,-1.3312804058186134,9565100,0.7151931150764721
2026-02-20,183.89906311035156,-0.07015481154548642,10816200,0.8047282864648783
2026-02-23,176.94674682617188,-3.780506635864611,15498600,1.1275530470690431
2026-02-24,184.1573028564453,4.074986491476396,15564700,1.0990781758693142
2026-02-25,190.44418334960938,3.413864340783057,21875100,1.4817085189552834
2026-02-26,198.1116180419922,4.026079745532196,26680500,1.7021964813425408
2026-02-27,193.46348571777344,-2.346218949780887,16346500,1.0502961859017503
2026-03-02,191.63601684570312,-0.9446066089888627,9932700,0.6405788278207796
2026-03-03,194.71490478515625,1.6066332363462221,13208900,0.837664693139329
2026-03-04,191.76513671875,-1.5149164208363763,11583700,0.7552192418990631
2026-03-05,200.01853942871094,4.30391198900022,15860900,1.0587527718924432
2026-03-06,200.733642578125,0.3575184337694548,9657400,0.6722496040072965
2026-03-09,197.43624877929688,-1.6426712316271463,10754800,0.7562669183149736
2026-03-10,193.58267211914062,-1.9518080818401007,14467400,1.0089774682807162
2026-03-11,192.80799865722656,-0.4001770682436345,9580000,0.677126312683219
2026-03-12,197.9228973388672,2.6528456896302677,26309700,1.796374436706268
2026-03-13,191.51683044433594,-3.236647694967454,14834700,1.0198978637743652
2026-03-16,196.9893035888672,2.8574371932924336,13419600,0.9270807174934361
2026-03-17,193.97994995117188,-1.5276736263691193,11559300,0.8044926256756564
2026-03-18,193.0165557861328,-0.496646259204403,10525100,0.7308059376289965
2026-03-19,193.66213989257812,0.33447084568261065,9254300,0.6432625575148377
2026-03-20,194.04946899414062,0.20000248978833124,20201100,1.3598169059118523
2026-03-23,193.850830078125,-0.1023650912549634,13976200,0.945639369862439
2026-03-24,181.77365112304688,-6.2301404385066705,18631400,1.2476691668399411
2026-03-25,180.7208709716797,-0.5791709331153472,12565200,0.8685139834400901
2026-03-26,184.3758087158203,2.022421497024207,10330700,0.756828947734722
2026-03-27,178.0889129638672,-3.4098268074002958,9902000,0.7429608362398619
2026-03-30,183.7699432373047,3.1899966027588267,11617700,0.8662164978316068
2026-03-31,185.39877319335938,0.8863418725397088,11041400,0.8299539298672618
2026-04-01,184.97171020507812,-0.2303483356040581,11677700,0.8774729812080103
2026-04-02,185.90530395507812,0.5047224513223814,11635500,0.8884054894762642
2026-04-06,183.7699432373047,-1.1486281845349722,14391000,1.0792920815915115
2026-04-07,181.71405029296875,-1.11873188189493,12344600,0.9203301516487826
2026-04-08,175.16893005371094,-3.6018790119451083,13472100,1.0081292539023374
2026-04-09,170.11090087890625,-2.887515025212395,20855400,1.4974544480652476
2026-04-10,164.2463836669922,-3.4474670239320715,18109300,1.3397212369559854
2026-04-13,172.0723876953125,4.764795335882366,12390800,0.9250303470991458
2026-04-14,170.56890869140625,-0.8737479755139166,13123600,0.9808209431534011
2026-04-15,176.8317108154297,3.6717137795341914,14340300,1.0607303500854706
2026-04-16,180.43605041503906,2.0382880327225017,11866700,0.8734281098308229
2026-04-17,181.35206604003906,0.5076677431660626,17225700,1.2317338962253628
2026-04-20,185.4641876220703,2.26747986489626,14382300,1.0502644227609503
2026-04-21,186.30056762695312,0.450965771670786,12073700,0.8878468076907946
2026-04-22,188.9789276123047,1.4376553005005732,14565900,1.0873661312164162
2026-04-23,172.55030822753906,-8.693360467400568,22719900,1.6341354561843704
