Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-07-02,20.82269940633113,20.82269940633113,20.607192720085518,20.62156105041504,4100,0.0,0.0,0.0
2025-07-03,20.73649464371565,20.822697309533485,20.726916366750388,20.793962478637695,4500,0.0,0.0,0.0
2025-07-04,20.803540755602956,20.822697309533485,20.793962478637695,20.793962478637695,6100,0.0,0.0,0.0
2025-07-07,20.870591319180658,20.870591319180658,20.73649725167197,20.76523208618164,2300,0.0,0.0,0.0
2025-07-08,20.726919600568653,20.750866210152733,20.698186592059468,20.73649787902832,1900,0.0,0.0,0.0
2025-07-09,20.832278836755183,20.832278836755183,20.73649787902832,20.73649787902832,2100,0.0,0.0,0.0
2025-07-10,20.736494599662993,20.937634761767146,20.736494599662993,20.880165100097656,9300,0.0,0.0,0.0
2025-07-11,20.793966090805753,20.837067431201902,20.746076524529965,20.832279205322266,7500,0.0,0.0,0.0
2025-07-14,20.793963760472515,20.870589980918208,20.793963760472515,20.82269859313965,2300,0.0,0.0,0.0
2025-07-15,20.70776324474869,20.75565280641739,20.688606689333337,20.698184967041016,5600,0.0,0.0,0.0
2025-07-16,20.611984277461875,20.832279205322266,20.58324944157449,20.832279205322266,1900,0.0,0.0,0.0
2025-07-17,20.793960696479125,21.100460052490234,20.793960696479125,21.100460052490234,17700,0.0,0.0,0.0
2025-07-18,21.062151381873427,21.07172966003418,21.01426181793944,21.07172966003418,4700,0.0,0.0,0.0
2025-07-21,21.071726314963296,21.081304591603526,20.97594537543048,20.995101928710938,6900,0.0,0.0,0.0
2025-07-22,20.975946657085526,21.052571048019725,20.95679010263458,21.02383804321289,5500,0.0,0.0,0.0
2025-07-23,21.13877848097287,21.234559447947557,21.1292002015884,21.177091598510742,4900,0.0,0.0,0.0
2025-07-24,21.215405009736713,21.215405009736713,21.13878059387207,21.13878059387207,8800,0.0,0.0,0.0
2025-07-25,21.16750903031501,21.282444705901185,21.16750903031501,21.253711700439453,5700,0.0,0.0,0.0
2025-07-28,21.196243567167578,21.224978401574976,21.138775725222544,21.15793228149414,3800,0.0,0.0,0.0
2025-07-29,21.234556398168024,21.234556398168024,21.181876782554472,21.196243286132812,800,0.0,0.0,0.0
2025-07-30,21.215399802908202,21.27286764398499,20.947215326636705,20.975948333740234,10800,0.0,0.0,0.0
2025-07-31,20.95672377048909,20.95672377048909,20.918272018432617,20.918272018432617,5300,0.08,0.0,0.0
2025-08-01,20.60103503930375,20.677940368652344,20.495289523861548,20.677940368652344,12500,0.0,0.0,0.0
2025-08-05,20.822138346293432,20.995175801655787,20.822138346293432,20.90865707397461,5600,0.0,0.0,0.0
2025-08-06,21.033625438067517,21.033625438067517,20.947108552644586,21.014400482177734,4400,0.0,0.0,0.0
2025-08-07,20.97594885398264,20.995175645228038,20.812524795532227,20.812524795532227,1000,0.0,0.0,0.0
2025-08-08,20.697166683727833,20.735618430734608,20.63948631286621,20.63948631286621,1900,0.0,0.0,0.0
2025-08-11,20.668326498297024,20.7163916404474,20.63948631286621,20.63948631286621,10900,0.0,0.0,0.0
2025-08-12,20.745234045119393,20.83175277709961,20.745234045119393,20.83175277709961,1800,0.0,0.0,0.0
2025-08-13,20.899041816712327,20.985560536686904,20.899041816712327,20.95672035217285,5200,0.0,0.0,0.0
2025-08-14,21.004789750632092,21.043241500854492,20.966336166841895,21.043241500854492,6100,0.0,0.0,0.0
2025-08-15,21.091306686401367,21.129758433352762,21.091306686401367,21.091306686401367,1500,0.0,0.0,0.0
2025-08-18,21.062463760375977,21.110528896202922,21.052850366497108,21.062463760375977,1200,0.0,0.0,0.0
2025-08-19,21.12976106392291,21.1922472232618,21.07208251953125,21.07208251953125,2500,0.0,0.0,0.0
2025-08-20,21.091312047983077,21.110537009562098,21.081698650409518,21.10092544555664,3300,0.0,0.0,0.0
2025-08-21,21.11053097204612,21.187438130639517,21.11053097204612,21.158597946166992,4000,0.0,0.0,0.0
2025-08-22,21.245120714319945,21.40854479033656,21.235507317663917,21.35086441040039,14100,0.0,0.0,0.0
2025-08-25,21.26434141477962,21.26434141477962,21.100917385588744,21.11052894592285,2700,0.0,0.0,0.0
2025-08-26,21.148985742377025,21.42776870727539,21.148985742377025,21.42776870727539,11600,0.0,0.0,0.0
2025-08-27,21.49505965372147,21.600803330749162,21.49505965372147,21.552738189697266,6900,0.0,0.0,0.0
2025-08-28,21.53351247377248,21.53351247377248,21.43738035330677,21.52389907836914,1000,0.0,0.0,0.0
2025-08-29,21.514251882015156,21.668614085426686,21.504605854426725,21.620376586914062,7100,0.08,0.0,0.0
2025-09-02,21.369537053989895,21.630023956298828,21.369537053989895,21.630023956298828,5100,0.0,0.0,0.0
2025-09-03,21.765089449303176,21.803680917615086,21.707204086977796,21.79403305053711,2500,0.0,0.0,0.0
2025-09-04,21.871214176511437,21.948395273096846,21.871214176511437,21.93874740600586,2800,0.0,0.0,0.0
2025-09-05,22.006281549439816,22.01592941693149,21.871215084841545,21.958044052124023,3800,0.0,0.0,0.0
2025-09-08,21.871214176511437,21.948395273096846,21.871214176511437,21.93874740600586,400,0.0,0.0,0.0
2025-09-09,21.794035397044542,22.13170342055965,21.794035397044542,22.112407684326172,3900,0.0,0.0,0.0
2025-09-10,22.10275668407111,22.228177111672945,22.10275668407111,22.208881378173828,7900,0.0,0.0,0.0
2025-09-11,22.37289024508159,22.459719201076318,22.37289024508159,22.450071334838867,7700,0.0,0.0,0.0
2025-09-12,22.440429937078054,22.440429937078054,22.35360095605478,22.363248825073242,3700,0.0,0.0,0.0
2025-09-15,22.32465529037596,22.401836395263672,22.286065658003448,22.401836395263672,6300,0.0,0.0,0.0
2025-09-16,22.286062240600586,22.30535797389933,22.276414373951216,22.286062240600586,3500,0.0,0.0,0.0
2025-09-17,22.27641463966938,22.430776827615773,22.27641463966938,22.353595733642578,7600,0.0,0.0,0.0
2025-09-18,22.425958059323317,22.527257919311523,22.42113320495658,22.527257919311523,1100,0.0,0.0,0.0
2025-09-19,22.66232126893207,22.778093835885965,22.604435905526387,22.76844596862793,5600,0.0,0.0,0.0
2025-09-22,22.671971290333836,22.835981369018555,22.671971290333836,22.835981369018555,6200,0.0,0.0,0.0
2025-09-23,22.903514436663617,22.903514436663617,22.729856491088867,22.729856491088867,1500,0.0,0.0,0.0
2025-09-24,22.69126625746476,22.70091412531242,22.54172706604004,22.54172706604004,3400,0.0,0.0,0.0
2025-09-25,22.46937404360137,22.507963680390148,22.39219108973801,22.498315811157227,5100,0.0,0.0,0.0
2025-09-26,22.594787100183538,22.652672461185954,22.575491366468587,22.604434967041016,9200,0.0,0.0,0.0
2025-09-29,22.643158819392863,22.783529425622145,22.643158819392863,22.701244354248047,75200,0.08,0.0,0.0
2025-09-30,22.71092465580878,22.788372039794922,22.604438195722356,22.788372039794922,3100,0.0,0.0,0.0
2025-10-01,22.778690009115966,22.90937969356652,22.778690009115966,22.846454620361328,13500,0.0,0.0,0.0
2025-10-02,22.78836774577992,22.904535106975178,22.730282218735372,22.8900146484375,2700,0.0,0.0,0.0
2025-10-03,23.00134470292341,23.069109311266896,23.00134470292341,23.049747467041016,800,0.0,0.0,0.0
2025-10-06,23.233683648629903,23.233683648629903,22.952942418247595,23.078792572021484,6200,0.0,0.0,0.0
2025-10-07,23.156234606640925,23.156234606640925,22.952938945322746,23.011024475097656,6400,0.0,0.0,0.0
2025-10-08,23.15623417061541,23.15623417061541,22.92389759523161,22.98198127746582,5800,0.0,0.0,0.0
2025-10-09,22.914215868444163,22.97229954863697,22.894854026230927,22.92389678955078,1700,0.0,0.0,0.0
2025-10-10,22.991662735634662,23.001343657307515,22.749645233154297,22.749645233154297,6500,0.0,0.0,0.0
2025-10-14,23.030390686366445,23.272408233655973,23.030390686366445,23.233684539794922,10700,0.0,0.0,0.0
2025-10-15,23.398256545809694,23.398256545809694,23.194960845933867,23.233684539794922,1600,0.0,0.0,0.0
2025-10-16,23.253044051698787,23.253044051698787,22.720604393259993,22.798049926757812,2000,0.0,0.0,0.0
2025-10-17,22.79804677781907,22.79804677781907,22.652836653373434,22.710920333862305,1400,0.0,0.0,0.0
2025-10-20,22.759328164060957,22.885176464024173,22.759328164060957,22.846454620361328,1700,0.0,0.0,0.0
2025-10-21,22.846456878707187,22.923902420135455,22.81741410825383,22.82709503173828,8300,0.0,0.0,0.0
2025-10-22,22.923896354687862,22.933577275610833,22.84645083375095,22.894853591918945,18100,0.0,0.0,0.0
2025-10-23,22.991663410886275,23.020706176757812,22.92389880363309,23.020706176757812,1800,0.0,0.0,0.0
2025-10-24,23.1368746396183,23.21432017248479,23.1368746396183,23.19011878967285,1700,0.0,0.0,0.0
2025-10-27,23.301444769893394,23.417613983154297,23.301444769893394,23.417613983154297,2300,0.0,0.0,0.0
2025-10-28,23.45633740584304,23.514422939615944,23.41761556310823,23.485380172729492,2600,0.0,0.0,0.0
2025-10-29,23.27240381974374,23.27240381974374,23.011024475097656,23.011024475097656,2300,0.0,0.0,0.0
2025-10-30,23.18527861352712,23.243362299966478,23.069109394201302,23.09815216064453,2700,0.0,0.0,0.0
2025-10-31,23.195284525221222,23.23413848876953,23.12729194167063,23.23413848876953,2100,0.08,0.0,0.0
2025-11-03,23.22442304546315,23.350696563720703,23.22442304546315,23.350696563720703,1300,0.0,0.0,0.0
2025-11-04,23.117576502978324,23.321556089102444,23.117576502978324,23.292415618896484,4100,0.0,0.0,0.0
2025-11-05,23.486684858968033,23.486684858968033,23.389551797937703,23.39926528930664,1900,0.0,0.0,0.0
2025-11-06,23.360408782958984,23.408976234521074,23.214710133590405,23.360408782958984,3500,0.0,0.0,0.0
2025-11-07,23.03015689766683,23.37983512878418,23.01073177022826,23.37983512878418,3900,0.0,0.0,0.0
2025-11-10,23.311842551102202,23.37983512878418,23.28270208095616,23.37983512878418,1300,0.0,0.0,0.0
2025-11-11,23.564389546678992,23.564389546678992,23.51582209270037,23.525535583496094,2700,0.0,0.0,0.0
2025-11-12,23.982060695054763,24.03062629699707,23.982060695054763,24.03062629699707,200,0.0,0.0,0.0
2025-11-13,24.079193331923133,24.079193331923133,23.62266852992275,23.700374603271484,3100,0.0,0.0,0.0
2025-11-14,23.52553227894829,23.797504425048828,23.52553227894829,23.797504425048828,4400,0.0,0.0,0.0
2025-11-17,23.748940732225964,23.884925889835785,23.661521173002843,23.76836585998535,29300,0.0,0.0,0.0
2025-11-18,23.574103217399916,23.787794458560022,23.53524925392047,23.763511657714844,1800,0.0,0.0,0.0
2025-11-19,23.76836718602876,23.76836718602876,23.642095511583314,23.729515075683594,2300,0.0,0.0,0.0
2025-11-20,23.904356184923756,23.982062264712795,23.642097470888597,23.67123794555664,13000,0.0,0.0,0.0
2025-11-21,23.748939959424956,24.06947771525968,23.748939959424956,24.050050735473633,7000,0.0,0.0,0.0
2025-11-24,23.99177092224858,24.18603515625,23.99177092224858,24.18603515625,3300,0.0,0.0,0.0
2025-11-25,24.390020880723046,24.516292572021484,24.370593896628158,24.516292572021484,2100,0.0,0.0,0.0
2025-11-26,24.535718223794476,24.58428382873535,24.516291240754498,24.58428382873535,3400,0.0,0.0,0.0
2025-11-27,24.584281287045307,24.642562230139767,24.584281287045307,24.632848739624023,9900,0.0,0.0,0.0
2025-11-28,24.55489473895955,24.720542907714844,24.535406281806797,24.720542907714844,3000,0.08,0.0,0.0
