Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-07-02,44.38432301580443,44.529276556697894,44.27802424399212,44.47129440307617,2733600,0.0,0.0,0.0
2025-07-03,44.567922621789194,44.761192759113975,44.52927154338124,44.722537994384766,4146900,0.0,0.0,0.0
2025-07-04,44.64523137227571,44.78051936014617,44.64523137227571,44.71287536621094,692600,0.0,0.0,0.0
2025-07-07,44.72253092459286,45.01243792791182,44.65488694017062,44.68387985229492,4442700,0.0,0.0,0.0
2025-07-08,44.72254012132089,44.74186750460468,44.5196081263233,44.70321273803711,2173100,0.0,0.0,0.0
2025-07-09,44.761200510486695,45.022114688109916,44.761200510486695,44.94480514526367,1846400,0.0,0.0,0.0
2025-07-10,44.91581390783795,45.29268869661031,44.906152058573774,45.1863899230957,1719100,0.0,0.0,0.0
2025-07-11,45.031773624961374,45.031773624961374,44.77086315053683,44.9544677734375,2233100,0.0,0.0,0.0
2025-07-14,44.89648852414572,44.97379806699196,44.751538660791866,44.94480514526367,903000,0.0,0.0,0.0
2025-07-15,44.935135075038026,44.944796922965295,44.693548327322766,44.761192321777344,870500,0.0,0.0,0.0
2025-07-16,44.7901829518821,45.05109708992849,44.654894958744265,45.04143524169922,1415300,0.0,0.0,0.0
2025-07-17,44.96412322317906,45.476289622709686,44.9061447643681,45.40864562988281,3134200,0.0,0.0,0.0
2025-07-18,45.44730556607138,45.44730556607138,45.273362783089404,45.379661560058594,1034800,0.0,0.0,0.0
2025-07-21,45.38932149431794,45.55359872112591,45.36999411122499,45.44729995727539,550800,0.0,0.0,0.0
2025-07-22,45.41830435775493,45.55359233411562,45.40864251072383,45.50527572631836,603700,0.0,0.0,0.0
2025-07-23,45.582587319288265,45.74686823013514,45.582587319288265,45.65989685058594,1058900,0.0,0.0,0.0
2025-07-24,45.708216944875545,45.78552648205984,45.60191817440794,45.6115837097168,1291300,0.0,0.0,0.0
2025-07-25,45.630902724068356,45.83383469247148,45.49561474513294,45.82416915893555,571200,0.0,0.0,0.0
2025-07-28,45.824171596515036,45.824171596515036,45.5149408606931,45.63090515136719,658500,0.0,0.0,0.0
2025-07-29,45.68888885541535,45.708216239413126,45.29268669926488,45.427974700927734,1551000,0.0,0.0,0.0
2025-07-30,45.481285471801776,45.723619696262084,45.345578897740296,45.43281936645508,1465100,0.145,0.0,0.0
2025-07-31,45.3068068111936,45.384351837771,45.08385607768267,45.219566345214844,4273000,0.0,0.0,0.0
2025-08-01,44.783357802841046,45.093545261573915,44.68642191090815,45.025691986083984,3049300,0.0,0.0,0.0
2025-08-05,45.39405086006657,45.49098307537073,45.161408366518806,45.3455810546875,1970300,0.0,0.0,0.0
2025-08-06,45.423127624476464,45.56852594051656,45.30680823209902,45.43281936645508,929300,0.0,0.0,0.0
2025-08-07,45.47159372982316,45.675153590915386,45.374661519129766,45.43281936645508,3171900,0.0,0.0,0.0
2025-08-08,45.51036633359823,45.76239229029292,45.51036633359823,45.67515182495117,932800,0.0,0.0,0.0
2025-08-11,45.684852351357506,45.87872048456298,45.684852351357506,45.81086349487305,3354200,0.0,0.0,0.0
2025-08-12,45.878721619297,46.140439353211406,45.878721619297,46.07258605957031,1224800,0.0,0.0,0.0
2025-08-13,46.27614340657828,46.431237156547986,46.27614340657828,46.41184997558594,2537300,0.0,0.0,0.0
2025-08-14,46.43123920447233,46.6541862487793,46.32461155334142,46.6541862487793,2032500,0.0,0.0,0.0
2025-08-15,46.71234677411121,46.76081658029585,46.586335631666884,46.59602737426758,1711200,0.0,0.0,0.0
2025-08-18,46.596024449778064,46.596024449778064,46.47000961751571,46.576637268066406,557700,0.0,0.0,0.0
2025-08-19,46.596025970824414,46.72204080720031,46.55725160613538,46.586334228515625,3028700,0.0,0.0,0.0
2025-08-20,46.69295729231197,46.71234447428591,46.51848005000022,46.60572052001953,2385600,0.0,0.0,0.0
2025-08-21,46.547564693671134,46.71235021410751,46.50879032495881,46.64449691772461,2481100,0.0,0.0,0.0
2025-08-22,46.770507305897446,47.012841540643024,46.70265401598684,46.94498825073242,3424000,0.0,0.0,0.0
2025-08-25,46.90621031068498,46.90621031068498,46.596022809670245,46.692955017089844,3304100,0.0,0.0,0.0
2025-08-26,46.91590959427781,47.84647217357084,46.896522411659994,47.83677673339844,7329000,0.0,0.0,0.0
2025-08-27,47.701068131288665,48.32144315785997,47.652602025661565,48.12757873535156,5822900,0.0,0.0,0.0
2025-08-28,48.735188548920966,48.75463251579527,47.66579262217911,47.89911651611328,2442600,0.145,0.0,0.0
2025-08-29,47.8893923642504,48.32687234465874,47.82134033491548,48.22965621948242,2124600,0.0,0.0,0.0
2025-09-02,48.01577465861354,48.326870698852105,47.86022663849426,48.297706604003906,1158200,0.0,0.0,0.0
2025-09-03,48.433814219629575,48.78379821777344,48.34631822009361,48.78379821777344,3480700,0.0,0.0,0.0
2025-09-04,48.91989742565813,49.143497467041016,48.83240143480767,49.143497467041016,3463000,0.0,0.0,0.0
2025-09-05,49.27960151757345,49.38654147400814,48.90045346007389,49.143497467041016,1153800,0.0,0.0,0.0
2025-09-08,49.07544572132321,49.1726655497982,48.87128964436163,49.1337776184082,1159300,0.0,0.0,0.0
2025-09-09,49.036556966069526,49.43514898472707,49.036556966069526,49.32821273803711,2399300,0.0,0.0,0.0
2025-09-10,49.435162652585596,49.64904262221355,49.376834448911225,49.55182647705078,1236400,0.0,0.0,0.0
2025-09-11,49.6781955721782,49.90179933126228,49.619867381597466,49.853187561035156,3170800,0.0,0.0,0.0
2025-09-12,49.83374517141747,49.882356943182685,49.61014511381596,49.62958908081055,2144600,0.0,0.0,0.0
2025-09-15,49.69763999173296,49.87263198218562,49.57125977195071,49.833744049072266,738300,0.0,0.0,0.0
2025-09-16,49.86291561526588,50.17401168652955,49.717087709367036,50.15456771850586,1182400,0.0,0.0,0.0
2025-09-17,50.17401311257281,50.523997129831095,50.15456914399648,50.25178527832031,1694600,0.0,0.0,0.0
2025-09-18,50.20317158417303,50.514267629409694,50.1642836513791,50.32955551147461,3615000,0.0,0.0,0.0
2025-09-19,50.873978684062116,50.873978684062116,50.47538291038184,50.66981887817383,1664300,0.0,0.0,0.0
2025-09-22,50.72815157976625,50.88369961473734,50.601767642427966,50.79620361328125,1940700,0.0,0.0,0.0
2025-09-23,50.835082728440206,51.04895892156586,50.805914927310816,50.84480285644531,875600,0.0,0.0,0.0
