Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-07-02,20.82269940633113,20.82269940633113,20.607192720085518,20.62156105041504,4100,0.0,0.0,0.0
2025-07-03,20.736498447870318,20.822701129502217,20.7269201691479,20.79396629333496,4500,0.0,0.0,0.0
2025-07-04,20.80354457205738,20.822701129502217,20.79396629333496,20.79396629333496,6100,0.0,0.0,0.0
2025-07-07,20.870589402154465,20.870589402154465,20.73649534696272,20.765230178833008,2300,0.0,0.0,0.0
2025-07-08,20.726915787633413,20.75086239281226,20.698182784409966,20.736494064331055,1900,0.0,0.0,0.0
2025-07-09,20.832275004438,20.832275004438,20.736494064331055,20.736494064331055,2100,0.0,0.0,0.0
2025-07-10,20.73649838811241,20.93763858696382,20.73649838811241,20.880168914794922,9300,0.0,0.0,0.0
2025-07-11,20.793964186964967,20.83706552341487,20.74607462507382,20.832277297973633,7500,0.0,0.0,0.0
2025-07-14,20.793963760472515,20.870589980918208,20.793963760472515,20.82269859313965,2300,0.0,0.0,0.0
2025-07-15,20.707765152979967,20.755654719061717,20.68860859579933,20.69818687438965,5600,0.0,0.0,0.0
2025-07-16,20.611982390282865,20.832277297973633,20.583247557026368,20.832277297973633,1900,0.0,0.0,0.0
2025-07-17,20.79396445576517,21.1004638671875,20.79396445576517,21.1004638671875,17700,0.0,0.0,0.0
2025-07-18,21.06214947539179,21.071727752685547,21.014259915792618,21.071727752685547,4700,0.0,0.0,0.0
2025-07-21,21.07172822927305,21.081306506783438,20.97594728103879,20.99510383605957,6900,0.0,0.0,0.0
2025-07-22,20.975946657085526,21.052571048019725,20.95679010263458,21.02383804321289,5500,0.0,0.0,0.0
2025-07-23,21.13877657707497,21.23455753542299,21.129198298553185,21.17708969116211,4900,0.0,0.0,0.0
2025-07-24,21.21539735268695,21.21539735268695,21.13877296447754,21.13877296447754,8800,0.0,0.0,0.0
2025-07-25,21.16750903031501,21.282444705901185,21.16750903031501,21.253711700439453,5700,0.0,0.0,0.0
2025-07-28,21.196243567167578,21.224978401574976,21.138775725222544,21.15793228149414,3800,0.0,0.0,0.0
2025-07-29,21.234554487371778,21.234554487371778,21.181874876498615,21.19624137878418,800,0.0,0.0,0.0
2025-07-30,21.215397873786184,21.272865709637408,20.94721342190077,20.9759464263916,10800,0.0,0.0,0.0
2025-07-31,20.95672377048909,20.95672377048909,20.918272018432617,20.918272018432617,5300,0.08,0.0,0.0
2025-08-01,20.60103503930375,20.677940368652344,20.495289523861548,20.677940368652344,12500,0.0,0.0,0.0
2025-08-05,20.822138346293432,20.995175801655787,20.822138346293432,20.90865707397461,5600,0.0,0.0,0.0
2025-08-06,21.033629256254645,21.033629256254645,20.947112355126496,21.014404296875,4400,0.0,0.0,0.0
2025-08-07,20.97594693165713,20.9951737211405,20.812522888183594,20.812522888183594,1000,0.0,0.0,0.0
2025-08-08,20.697170509085886,20.735622263199513,20.639490127563477,20.639490127563477,1900,0.0,0.0,0.0
2025-08-11,20.66833031832468,20.71639546935871,20.639490127563477,20.639490127563477,10900,0.0,0.0,0.0
2025-08-12,20.745234045119393,20.83175277709961,20.745234045119393,20.83175277709961,1800,0.0,0.0,0.0
2025-08-13,20.899041816712327,20.985560536686904,20.899041816712327,20.95672035217285,5200,0.0,0.0,0.0
2025-08-14,21.004791654495477,21.043243408203125,20.96633806721987,21.043243408203125,6100,0.0,0.0,0.0
2025-08-15,21.09130859375,21.1297603441787,21.09130859375,21.09130859375,1500,0.0,0.0,0.0
2025-08-18,21.062469482421875,21.110534631306688,21.05285608593133,21.062469482421875,1200,0.0,0.0,0.0
2025-08-19,21.12975915135348,21.1922453050364,21.072080612182617,21.072080612182617,2500,0.0,0.0,0.0
2025-08-20,21.091308235023757,21.11053319312722,21.08169483918814,21.100921630859375,3300,0.0,0.0,0.0
2025-08-21,21.11053287506174,21.18744004058796,21.11053287506174,21.158599853515625,4000,0.0,0.0,0.0
2025-08-22,21.245122612222115,21.40854670283798,21.23550921470729,21.350866317749023,14100,0.0,0.0,0.0
2025-08-25,21.26434717851666,21.26434717851666,21.100923105029413,21.11053466796875,2700,0.0,0.0,0.0
2025-08-26,21.148985742377025,21.42776870727539,21.148985742377025,21.42776870727539,11600,0.0,0.0,0.0
2025-08-27,21.495057751477205,21.60080141914692,21.495057751477205,21.552736282348633,6900,0.0,0.0,0.0
2025-08-28,21.53351438197301,21.53351438197301,21.437382252988517,21.523900985717773,1000,0.0,0.0,0.0
2025-08-29,21.51424998402884,21.66861217382254,21.50460395729138,21.62037467956543,7100,0.08,0.0,0.0
2025-09-02,21.369535169611154,21.630022048950195,21.369535169611154,21.630022048950195,5100,0.0,0.0,0.0
2025-09-03,21.765091354118752,21.803682825808075,21.70720598672742,21.794034957885742,2500,0.0,0.0,0.0
2025-09-04,21.871212275034125,21.948393364909432,21.871212275034125,21.938745498657227,2800,0.0,0.0,0.0
2025-09-05,22.006283460978516,22.015931329308234,21.871216984647926,21.958045959472656,3800,0.0,0.0,0.0
2025-09-08,21.871212275034125,21.948393364909432,21.871212275034125,21.938745498657227,400,0.0,0.0,0.0
