Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,thscode,thsname_cn,thsname_en,currency
2026-06-08T04:00:00.000Z,30.0145149231,30.0145149231,30.0145149231,30.0145149231,2000,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-06-09T04:00:00.000Z,30.0938921584,30.3320236206,30.064125016,30.3320236206,6700,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-06-10T04:00:00.000Z,30.2129579085,30.4907769929,30.2129579085,30.4113998413,2700,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-06-11T04:00:00.000Z,30.5304671391,30.5503119005,30.5006999969,30.5006999969,1000,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-06-12T04:00:00.000Z,31.0067311584,31.2051749948,31.0067311584,31.0563411713,2000,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-06-15T04:00:00.000Z,31.3043933704,31.334160512,31.0861066758,31.1555614471,2400,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-06-16T04:00:00.000Z,31.4730702868,31.6219041037,31.4730702868,31.5226821899,2900,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-06-17T04:00:00.000Z,31.8302698218,31.9394103295,31.8302698218,31.9096450806,700,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-06-18T04:00:00.000Z,32.0287125189,32.118012058,32.0287125189,32.0485572815,6100,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-06-19T04:00:00.000Z,32.2767639537,32.2767639537,31.9791001073,32.0088653564,7100,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-06-22T04:00:00.000Z,31.9394115715,32.1973896887,31.9394115715,32.0882453918,4000,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-06-23T04:00:00.000Z,31.9791013457,32.2767652036,31.9294913335,32.1874656677,3500,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-06-24T04:00:00.000Z,32.2370774743,32.2966079712,32.0981641498,32.2966079712,2600,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-06-25T04:00:00.000Z,32.4652846848,32.6934937416,32.4454399253,32.4553604126,2900,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-06-26T04:00:00.000Z,32.4950539558,32.4950539558,32.1973900964,32.2370796204,1600,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-06-29T04:00:00.000Z,32.4851356632,32.5049766415,32.3462223201,32.4950561523,6500,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-06-30T04:00:00.000Z,32.5398179085,32.7288318192,32.5398179085,32.6492462158,2200,0.085,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-07-02T04:00:00.000Z,32.9377373685,32.9377373685,32.5597133531,32.7387771606,9800,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
