Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,thscode,thsname_cn,thsname_en,currency
2026-06-08T04:00:00.000Z,7440.5698242188,7466.8100585938,7395.1298828125,7405.7299804688,4898180000,0.0,0.0,^GSPC,NA,NA,USD
2026-06-09T04:00:00.000Z,7438.66015625,7483.1499023438,7237.8500976562,7386.6499023438,6006390000,0.0,0.0,^GSPC,NA,NA,USD
2026-06-10T04:00:00.000Z,7350.5400390625,7396.5600585938,7265.9301757812,7266.990234375,5247300000,0.0,0.0,^GSPC,NA,NA,USD
2026-06-11T04:00:00.000Z,7287.669921875,7412.6801757812,7257.330078125,7394.2998046875,5658920000,0.0,0.0,^GSPC,NA,NA,USD
2026-06-12T04:00:00.000Z,7410.8500976562,7456.3999023438,7363.009765625,7431.4599609375,4950530000,0.0,0.0,^GSPC,NA,NA,USD
2026-06-15T04:00:00.000Z,7516.75,7577.919921875,7516.75,7554.2900390625,5674670000,0.0,0.0,^GSPC,NA,NA,USD
2026-06-16T04:00:00.000Z,7548.7797851562,7564.9599609375,7508.6801757812,7511.3500976562,5286210000,0.0,0.0,^GSPC,NA,NA,USD
2026-06-17T04:00:00.000Z,7524.5,7532.169921875,7402.6098632812,7420.1000976562,5883740000,0.0,0.0,^GSPC,NA,NA,USD
2026-06-18T04:00:00.000Z,7487.3598632812,7511.0698242188,7468.3198242188,7500.580078125,9061110000,0.0,0.0,^GSPC,NA,NA,USD
2026-06-22T04:00:00.000Z,7500.4399414062,7530.009765625,7460.009765625,7472.7900390625,5976740000,0.0,0.0,^GSPC,NA,NA,USD
2026-06-23T04:00:00.000Z,7366.509765625,7424.169921875,7347.6000976562,7365.4599609375,5640530000,0.0,0.0,^GSPC,NA,NA,USD
2026-06-24T04:00:00.000Z,7370.8798828125,7428.0600585938,7336.8198242188,7358.2202148438,5994860000,0.0,0.0,^GSPC,NA,NA,USD
2026-06-25T04:00:00.000Z,7404.91015625,7419.080078125,7323.5,7357.490234375,5565760000,0.0,0.0,^GSPC,NA,NA,USD
