Date,Open,High,Low,Close,Volume
2025-12-15,261.21,262.28,253.09,254.58,10271800
2025-12-16,254.00,255.86,252.11,254.91,6145300
2025-12-17,256.33,261.97,256.25,258.14,6269000
2025-12-18,258.42,260.07,256.16,257.85,5654200
2025-12-19,260.68,262.04,255.50,259.91,20732100
2025-12-22,260.62,264.63,258.41,264.63,5664200
2025-12-23,262.72,264.24,260.52,263.43,4745100
2025-12-24,263.23,266.30,262.55,265.26,2076600
2025-12-26,264.80,267.91,264.80,266.08,2456400
2025-12-29,264.71,269.11,264.71,266.23,4300100
2025-12-30,266.66,268.28,265.33,265.92,3291800
2025-12-31,265.29,266.10,264.39,264.91,3367900
2026-01-02,265.00,265.38,252.48,253.62,9680600
2026-01-05,253.62,259.59,252.31,256.26,6421500
2026-01-06,255.20,263.55,255.00,262.90,6103300
2026-01-07,263.50,267.83,263.50,266.12,5976200
2026-01-08,264.40,265.20,260.41,260.53,5243500
2026-01-09,260.00,261.03,256.51,259.94,5174400
2026-01-12,259.00,261.56,255.77,259.40,4927700
2026-01-13,257.66,260.91,240.36,241.06,13661000
2026-01-14,239.18,242.24,236.46,239.57,10149300
2026-01-15,237.02,238.84,231.67,233.53,11489600
2026-01-16,232.95,232.95,226.44,227.11,13902600
2026-01-20,223.54,227.94,219.36,220.07,13050800
2026-01-21,220.15,223.39,218.96,221.58,12616600
2026-01-22,222.24,228.72,221.11,228.09,9483000
2026-01-23,226.78,230.85,226.65,228.05,9408000
2026-01-26,229.43,230.95,227.59,229.40,7239600
2026-01-27,231.94,235.74,226.27,228.53,9838400
2026-01-28,229.39,231.86,227.67,227.96,8465900
2026-01-29,216.67,217.28,208.78,214.08,18555600
2026-01-30,214.16,215.55,211.03,212.29,11090400
2026-02-02,214.35,216.89,209.80,210.81,7950900
2026-02-03,205.00,205.56,193.11,196.38,20194200
2026-02-04,193.31,200.67,187.28,199.44,23010000
2026-02-05,193.99,199.56,188.79,189.97,21956300
2026-02-06,191.63,194.60,187.12,191.35,13652600
2026-02-09,189.30,195.20,185.73,194.03,12112000
2026-02-10,191.90,199.10,190.75,193.45,13393000
2026-02-11,193.15,193.67,181.81,185.00,16350200
2026-02-12,185.96,188.32,180.24,185.43,16849100
2026-02-13,186.44,193.45,184.30,189.72,14822900
2026-02-17,190.97,193.00,183.17,184.29,13692900
2026-02-18,183.88,188.14,181.86,187.79,9852900
2026-02-19,186.60,186.95,183.23,185.29,9565100
2026-02-20,185.32,191.73,183.73,185.16,10816200
2026-02-23,181.27,182.47,174.57,178.16,15498600
2026-02-24,177.64,188.67,176.28,185.42,15564700
2026-02-25,183.00,192.60,182.26,191.75,21875100
2026-02-26,196.76,201.04,191.33,199.47,26680500
2026-02-27,191.91,195.92,189.92,194.79,16346500
2026-03-02,192.50,195.94,190.68,192.95,9932700
2026-03-03,190.75,198.67,189.58,196.05,13208900
2026-03-04,195.10,196.47,192.10,193.08,11583700
2026-03-05,194.36,204.42,194.24,201.39,15860900
2026-03-06,200.79,202.96,197.37,202.11,9657400
2026-03-09,198.56,203.67,195.87,198.79,10754800
2026-03-10,197.26,199.57,190.60,194.91,14467400
2026-03-11,196.40,199.55,191.29,194.13,9580000
2026-03-12,194.13,204.86,193.15,199.28,26309700
2026-03-13,199.73,201.00,191.75,192.83,14834700
2026-03-16,195.15,198.63,195.15,198.34,13419600
2026-03-17,198.22,202.38,194.45,195.31,11559300
2026-03-18,193.40,196.15,192.64,194.34,10525100
2026-03-19,195.59,200.40,193.30,194.99,9254300
2026-03-20,193.21,195.67,190.00,195.38,20201100
2026-03-23,197.09,198.05,192.00,195.18,13976200
2026-03-24,192.14,192.14,182.29,183.02,18631400
2026-03-25,185.70,187.39,179.85,181.96,12565200
2026-03-26,181.18,187.47,179.53,185.64,10330700
2026-03-27,184.00,184.11,178.82,179.31,9902000
2026-03-30,180.10,186.39,179.58,185.03,11617700
2026-03-31,184.90,188.50,182.31,186.67,11041400
2026-04-01,186.85,188.98,183.01,186.24,11677700
2026-04-02,185.30,187.58,181.58,187.18,11635500
2026-04-06,187.50,188.14,183.60,185.03,14391000
2026-04-07,184.95,186.58,182.02,182.96,12344600
2026-04-08,186.50,186.77,175.78,176.37,13472100
2026-04-09,173.17,174.29,167.12,170.85,20855400
2026-04-10,171.26,171.26,163.52,164.96,18109300
2026-04-13,167.05,173.40,165.77,172.82,12390800
2026-04-14,175.21,177.50,170.50,171.31,13123600
2026-04-15,174.22,179.62,172.88,177.60,14340300
2026-04-16,184.00,184.55,178.57,181.22,11866700
2026-04-17,185.43,187.98,181.03,182.14,17225700
2026-04-20,182.50,189.00,182.12,186.27,14382300
2026-04-21,186.60,193.56,184.10,187.11,12073700
2026-04-22,188.20,191.15,187.03,189.80,14565900
2026-04-23,177.56,178.87,170.65,173.30,22719900
2026-04-24,175.62,178.45,174.40,178.16,10817600
2026-04-27,178.26,184.29,177.51,180.18,11907000
2026-04-28,182.43,184.42,181.32,181.32,8711700
2026-04-29,179.20,181.78,177.35,181.22,6882800
2026-04-30,178.30,178.69,173.00,176.53,14408300
2026-05-01,182.19,186.04,178.75,183.82,12324400
2026-05-04,184.24,190.31,183.97,185.48,8444700
2026-05-05,185.55,187.39,181.10,186.99,9740800
2026-05-06,185.52,187.10,179.58,181.19,11303400
2026-05-07,184.60,188.58,184.00,186.34,13955100
2026-05-08,179.68,181.87,176.88,181.82,15123900
2026-05-11,179.91,182.50,176.31,177.49,11145000
2026-05-12,177.58,177.58,170.58,171.31,10214000
2026-05-13,169.78,169.78,164.75,165.84,11951900
2026-05-14,166.00,169.35,164.33,167.58,9749400
2026-05-15,169.25,175.97,169.00,173.51,13883400
2026-05-18,172.89,180.78,171.80,179.48,13671200
2026-05-19,185.00,187.44,178.81,179.42,17510800
2026-05-20,176.04,180.31,173.34,180.10,13025300
2026-05-21,175.38,177.34,171.99,176.31,10949100
2026-05-22,179.84,183.35,177.68,180.07,10176700
2026-05-26,178.43,182.36,177.68,179.08,13617200
2026-05-27,178.00,183.92,176.89,177.51,18524900
2026-05-28,178.43,182.48,171.65,176.17,22559400
2026-05-29,180.24,194.14,180.02,191.10,33998900
2026-06-01,198.75,211.34,198.21,209.60,27594800
2026-06-02,201.02,204.39,195.76,200.84,19216600
2026-06-03,197.27,197.68,189.73,190.61,14154400
2026-06-04,197.81,198.09,186.11,188.75,14453600
2026-06-05,189.80,192.51,184.83,185.66,13183900
2026-06-08,183.91,185.02,181.71,182.55,11177800
2026-06-09,179.50,182.46,171.56,175.35,15427800
2026-06-10,170.60,175.53,170.03,170.92,10820500
2026-06-11,168.27,168.98,163.31,166.45,16666000
2026-06-12,164.74,166.54,161.40,165.89,13589400
2026-06-15,166.03,169.95,164.17,164.55,13541800
2026-06-16,164.06,166.30,160.50,161.71,16385300
2026-06-17,160.25,161.43,154.23,155.02,19986200
2026-06-18,152.73,154.47,149.80,151.78,57940800
2026-06-22,150.16,153.87,146.32,150.12,20502800
2026-06-23,151.65,155.18,150.85,153.42,20720700
2026-06-24,151.81,157.06,150.40,152.76,13146800
2026-06-25,150.01,154.00,148.78,150.19,11324700
2026-06-26,151.49,158.46,151.49,158.37,21267900
2026-06-29,160.27,161.76,157.70,157.93,12664100
2026-06-30,155.09,157.69,154.07,156.66,13690500
2026-07-01,162.22,165.81,161.20,163.23,14164600
2026-07-02,163.00,167.21,162.00,166.11,10486300
2026-07-06,163.99,167.72,162.37,165.65,10595500
2026-07-07,169.22,172.38,167.68,169.52,13057900
2026-07-08,167.37,167.53,164.78,166.58,9792400
2026-07-09,158.33,163.80,156.48,162.50,13858600
