Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-07-02,26849.599609375,26893.80078125,26762.900390625,26869.69921875,267379900,0.0,0.0
2025-07-03,26888.69921875,27039.30078125,26878.30078125,27034.30078125,165784400,0.0,0.0
2025-07-04,27011.30078125,27076.80078125,26987.900390625,27050.900390625,38494700,0.0,0.0
2025-07-07,27029.400390625,27100.19921875,26964.0,27020.30078125,299306600,0.0,0.0
2025-07-08,27033.30078125,27070.19921875,26861.0,26903.599609375,325494600,0.0,0.0
2025-07-09,26926.099609375,27018.5,26908.30078125,26972.30078125,226394100,0.0,0.0
2025-07-10,26980.69921875,27120.0,26918.80078125,27082.30078125,271236700,0.0,0.0
2025-07-11,27042.900390625,27044.0,26928.099609375,27023.30078125,221467900,0.0,0.0
2025-07-14,27035.19921875,27219.30078125,27001.19921875,27198.900390625,222940900,0.0,0.0
2025-07-15,27210.599609375,27239.5,27017.80078125,27054.099609375,220698100,0.0,0.0
2025-07-16,27074.400390625,27159.900390625,26923.400390625,27153.0,213116600,0.0,0.0
2025-07-17,27190.19921875,27422.400390625,27146.0,27386.900390625,222730400,0.0,0.0
2025-07-18,27413.599609375,27422.099609375,27289.19921875,27314.0,192406300,0.0,0.0
2025-07-21,27350.900390625,27448.5,27303.19921875,27317.0,218636700,0.0,0.0
2025-07-22,27304.80078125,27396.5,27270.5,27364.400390625,240118600,0.0,0.0
2025-07-23,27354.69921875,27462.80078125,27354.69921875,27416.400390625,211667500,0.0,0.0
2025-07-24,27407.099609375,27479.0,27321.400390625,27372.30078125,227503500,0.0,0.0
2025-07-25,27377.0,27516.0,27364.599609375,27494.400390625,191524300,0.0,0.0
2025-07-28,27493.099609375,27493.099609375,27351.30078125,27405.400390625,205699100,0.0,0.0
2025-07-29,27434.80078125,27544.599609375,27434.80078125,27539.900390625,201499500,0.0,0.0
2025-07-30,27525.80078125,27581.19921875,27290.0,27370.0,211185700,0.0,0.0
2025-07-31,27388.900390625,27481.099609375,27218.599609375,27259.80078125,236411000,0.0,0.0
2025-08-01,27171.69921875,27171.69921875,26846.69921875,27020.400390625,224548300,0.0,0.0
2025-08-05,27254.30078125,27575.30078125,27254.30078125,27570.099609375,282282500,0.0,0.0
2025-08-06,27800.5,27955.599609375,27800.5,27920.900390625,261123900,0.0,0.0
2025-08-07,27977.80078125,27977.80078125,27683.0,27761.30078125,222711100,0.0,0.0
2025-08-08,27792.5,27869.900390625,27739.80078125,27758.69921875,229789800,0.0,0.0
2025-08-11,27731.099609375,27841.400390625,27731.099609375,27775.19921875,219844100,0.0,0.0
2025-08-12,27816.0,27954.0,27816.0,27921.30078125,204006700,0.0,0.0
2025-08-13,27976.599609375,28063.69921875,27942.0,27993.400390625,228308900,0.0,0.0
2025-08-14,27942.599609375,27960.69921875,27836.400390625,27916.0,206508300,0.0,0.0
2025-08-15,27930.599609375,27932.099609375,27850.80078125,27905.5,207135100,0.0,0.0
2025-08-18,27887.30078125,27922.900390625,27840.900390625,27922.900390625,211170700,0.0,0.0
2025-08-19,27921.599609375,27998.30078125,27816.19921875,27823.900390625,189729900,0.0,0.0
2025-08-20,27821.30078125,27913.80078125,27802.099609375,27878.80078125,215029900,0.0,0.0
2025-08-21,27858.599609375,28063.5,27845.5,28055.400390625,208913900,0.0,0.0
2025-08-22,28079.5,28394.599609375,28079.5,28333.099609375,303570000,0.0,0.0
2025-08-25,28313.69921875,28313.69921875,28138.69921875,28169.900390625,238288800,0.0,0.0
2025-08-26,28173.900390625,28346.599609375,28159.599609375,28339.900390625,380689500,0.0,0.0
2025-08-27,28352.5,28468.30078125,28352.5,28433.0,251914200,0.0,0.0
2025-08-28,28505.099609375,28530.19921875,28349.599609375,28434.80078125,203072100,0.0,0.0
2025-08-29,28416.400390625,28607.30078125,28370.900390625,28564.5,249046500,0.0,0.0
2025-09-02,28497.400390625,28617.599609375,28370.099609375,28615.599609375,246992600,0.0,0.0
2025-09-03,28667.900390625,28761.900390625,28656.900390625,28751.400390625,235955700,0.0,0.0
2025-09-04,28761.900390625,28924.30078125,28734.900390625,28915.900390625,215745900,0.0,0.0
2025-09-05,29002.80078125,29115.400390625,28868.0,29050.599609375,245660000,0.0,0.0
2025-09-08,29070.19921875,29102.099609375,28893.900390625,29027.69921875,285660000,0.0,0.0
2025-09-09,29018.0,29123.099609375,29018.0,29063.0,278823600,0.0,0.0
2025-09-10,29108.5,29218.30078125,29099.900390625,29179.400390625,287547500,0.0,0.0
2025-09-11,29192.400390625,29418.80078125,29178.599609375,29407.900390625,256899600,0.0,0.0
2025-09-12,29390.69921875,29421.19921875,29254.400390625,29283.80078125,218533800,0.0,0.0
2025-09-15,29302.099609375,29432.5,29241.80078125,29431.0,307016200,0.0,0.0
2025-09-16,29429.5,29429.5,29247.599609375,29315.19921875,318858700,0.0,0.0
2025-09-17,29289.099609375,29465.099609375,29201.900390625,29321.69921875,260946900,0.0,0.0
2025-09-18,29347.0,29504.19921875,29319.900390625,29453.5,219478600,0.0,0.0
2025-09-19,29620.0,29791.5,29531.5,29768.400390625,812397000,0.0,0.0
2025-09-22,29791.0,29990.69921875,29747.900390625,29959.0,352957600,0.0,0.0
2025-09-23,30005.69921875,30066.599609375,29811.69921875,29815.599609375,296641400,0.0,0.0
2025-09-24,29865.0,30023.099609375,29755.19921875,29757.0,312079700,0.0,0.0
2025-09-25,29661.599609375,29768.30078125,29544.80078125,29732.0,293274800,0.0,0.0
2025-09-26,29778.400390625,29864.19921875,29739.19921875,29761.30078125,297599800,0.0,0.0
2025-09-29,29856.5,29980.5,29856.5,29971.900390625,264613400,0.0,0.0
2025-09-30,29930.69921875,30049.80078125,29837.30078125,30022.80078125,258525200,0.0,0.0
2025-10-01,30006.400390625,30182.599609375,30006.400390625,30107.69921875,227878300,0.0,0.0
2025-10-02,30172.80078125,30183.099609375,29903.099609375,30160.599609375,272062800,0.0,0.0
2025-10-03,30205.099609375,30490.0,30205.099609375,30471.69921875,279826500,0.0,0.0
2025-10-06,30635.900390625,30687.0,30479.099609375,30531.900390625,263418200,0.0,0.0
2025-10-07,30571.099609375,30612.099609375,30278.19921875,30351.69921875,249223800,0.0,0.0
2025-10-08,30492.19921875,30521.0,30365.80078125,30502.0,292002200,0.0,0.0
2025-10-09,30545.0,30550.19921875,30165.0,30270.0,275008600,0.0,0.0
2025-10-10,30324.19921875,30358.69921875,29842.0,29850.900390625,314817500,0.0,0.0
2025-10-14,29907.900390625,30478.0,29907.900390625,30353.599609375,345275800,0.0,0.0
2025-10-15,30493.099609375,30808.099609375,30470.80078125,30637.099609375,280486500,0.0,0.0
2025-10-16,30749.69921875,30790.599609375,30375.0,30458.80078125,276484000,0.0,0.0
2025-10-17,30338.80078125,30338.80078125,30008.0,30108.5,282271000,0.0,0.0
2025-10-20,30265.400390625,30439.099609375,30265.400390625,30416.400390625,229130400,0.0,0.0
2025-10-21,30214.099609375,30214.099609375,29837.599609375,29888.80078125,245603000,0.0,0.0
2025-10-22,29818.19921875,30036.900390625,29802.5,29983.0,270038700,0.0,0.0
2025-10-23,30097.5,30266.5,30094.900390625,30186.30078125,255404100,0.0,0.0
2025-10-24,30248.69921875,30411.30078125,30248.69921875,30353.099609375,212699600,0.0,0.0
2025-10-27,30315.599609375,30386.599609375,30087.5,30275.80078125,276258400,0.0,0.0
2025-10-28,30296.69921875,30490.0,30296.69921875,30419.69921875,241969100,0.0,0.0
2025-10-29,30495.400390625,30495.400390625,30051.30078125,30144.80078125,260738400,0.0,0.0
2025-10-30,30102.0,30303.099609375,30077.69921875,30179.0,242639000,0.0,0.0
2025-10-31,30274.400390625,30314.599609375,30120.599609375,30260.69921875,280312100,0.0,0.0
2025-11-03,30292.099609375,30294.400390625,30029.400390625,30275.099609375,264274200,0.0,0.0
2025-11-04,29959.19921875,30026.19921875,29749.5,29777.80078125,242806300,0.0,0.0
2025-11-05,29827.80078125,30181.19921875,29827.80078125,30103.5,282495800,0.0,0.0
2025-11-06,30111.5,30117.69921875,29815.099609375,29868.599609375,264378600,0.0,0.0
2025-11-07,29765.19921875,29912.19921875,29530.900390625,29912.19921875,297981000,0.0,0.0
2025-11-10,30085.0,30354.19921875,30085.0,30316.599609375,286689900,0.0,0.0
2025-11-11,30323.099609375,30431.30078125,30258.19921875,30409.30078125,201509000,0.0,0.0
2025-11-12,30475.30078125,30863.30078125,30475.30078125,30827.599609375,285848300,0.0,0.0
2025-11-13,30779.19921875,30788.80078125,30164.900390625,30253.599609375,296062200,0.0,0.0
2025-11-14,30104.80078125,30375.5,29828.5,30326.5,316911300,0.0,0.0
2025-11-17,30278.400390625,30353.099609375,29940.5,30076.19921875,314802500,0.0,0.0
2025-11-18,29969.69921875,30140.400390625,29829.400390625,30036.5,280541100,0.0,0.0
