Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-07-02,6.88573946990863,6.88573946990863,6.793370080240706,6.7975687980651855,275800,0.0,0.0,0.0
2025-07-03,6.835357523781227,6.852151596874997,6.8101652129050745,6.82696008682251,202400,0.0,0.0,0.0
2025-07-04,6.843754470022782,6.852151907362007,6.826960396168034,6.8311591148376465,157600,0.0,0.0,0.0
2025-07-07,6.835356903184829,6.868945847146423,6.818562030792236,6.818562030792236,244200,0.0,0.0,0.0
2025-07-08,6.801767826080322,6.826959333352502,6.776575517984566,6.801767826080322,325700,0.0,0.0,0.0
2025-07-09,6.818562649863792,6.843754159916279,6.801768576770023,6.82696008682251,251000,0.0,0.0,0.0
2025-07-10,6.852152012452638,6.885740961500986,6.826960500872306,6.860549449920654,334100,0.0,0.0,0.0
2025-07-11,6.868946887388669,6.868946887388669,6.814364344670283,6.860549449920654,428100,0.0,0.0,0.0
2025-07-14,6.852152012452638,6.868946887388669,6.826960500872306,6.860549449920654,317200,0.0,0.0,0.0
2025-07-15,6.885740231493177,6.885740231493177,6.818562340518502,6.822761058807373,483000,0.0,0.0,0.0
2025-07-16,6.84375424110161,6.868946552276611,6.784973783340625,6.868946552276611,523000,0.0,0.0,0.0
2025-07-17,6.860547623795097,6.919328068777727,6.835356118920185,6.910930633544922,372000,0.0,0.0,0.0
2025-07-18,6.927725504010531,6.927725504010531,6.894136563902814,6.910930633544922,172800,0.0,0.0,0.0
2025-07-21,6.927725991510906,6.936123427334634,6.8941370490395535,6.902534484863281,435900,0.0,0.0,0.0
2025-07-22,6.91932897529548,6.936123847961426,6.906733621619628,6.936123847961426,214100,0.0,0.0,0.0
2025-07-23,6.961315941362127,6.986507451655244,6.952918504323197,6.965514659881592,323500,0.0,0.0,0.0
2025-07-24,6.986507451655244,6.994904888694174,6.961315941362127,6.965514659881592,315800,0.0,0.0,0.0
2025-07-25,6.986506438736084,7.003301310378987,6.9529174962738365,6.999102592468262,357400,0.0,0.0,0.0
2025-07-28,7.0116992583310935,7.0116992583310935,6.944521368499961,6.978110313415527,451100,0.0,0.0,0.0
2025-07-29,6.994904434316952,7.003301870810399,6.94032269875679,6.95291805267334,581700,0.0,0.0,0.0
2025-07-30,6.961315021352059,6.986506528315857,6.9277260784591395,6.944520950317383,561400,0.0,0.0,0.0
2025-07-31,6.978562518434158,7.012604255143827,6.8934585824695,6.914734363555908,531400,0.11,0.0,0.0
2025-08-01,6.876436710357666,6.876436710357666,6.808353242858597,6.876436710357666,552000,0.0,0.0,0.0
2025-08-05,6.944519276299494,6.961540546773988,6.893457088113707,6.927498817443848,401200,0.0,0.0,0.0
2025-08-06,6.961541798788269,6.995583534240723,6.936009888484683,6.995583534240723,189400,0.0,0.0,0.0
2025-08-07,7.012603896369168,7.012603896369168,6.931755283081925,6.953031063079834,490700,0.0,0.0,0.0
2025-08-08,6.961542055888836,6.961542055888836,6.8934585824695,6.914734363555908,350100,0.0,0.0,0.0
2025-08-11,6.936010598852793,6.944521236492292,6.9062241787336225,6.918990135192871,434000,0.0,0.0,0.0
2025-08-12,6.936010456175566,6.978562831878662,6.936010456175566,6.978562831878662,325400,0.0,0.0,0.0
2025-08-13,6.970051388979731,7.029625032727569,6.970051388979731,7.012603759765625,204800,0.0,0.0,0.0
2025-08-14,7.01260338557405,7.0551557540893555,7.004092749547205,7.0551557540893555,311000,0.0,0.0,0.0
2025-08-15,7.0636673211377685,7.080687783815907,7.046646046840601,7.059412002563477,224000,0.0,0.0,0.0
2025-08-18,7.063666820526123,7.072177457071547,7.038135722508824,7.063666820526123,323900,0.0,0.0,0.0
2025-08-19,7.063666608435338,7.097708341975937,7.063666608435338,7.076431751251221,451000,0.0,0.0,0.0
2025-08-20,7.0806884765625,7.106220390506193,7.076433157571884,7.0806884765625,304200,0.0,0.0,0.0
2025-08-21,7.080688855724945,7.114730597853655,7.072179028907132,7.097710132598877,380200,0.0,0.0,0.0
2025-08-22,7.123238925184468,7.157280656268476,7.118983607346606,7.144515514373779,219900,0.0,0.0,0.0
2025-08-25,7.148772339982365,7.148772339982365,7.080688855724945,7.097710132598877,379800,0.0,0.0,0.0
2025-08-26,7.097710074889772,7.199835300445557,7.097710074889772,7.199835300445557,508500,0.0,0.0,0.0
2025-08-27,7.208345127721151,7.250897503152801,7.19132385290087,7.2338762283325195,303400,0.0,0.0,0.0
2025-08-28,7.259407328943887,7.267917966354028,7.174303389699643,7.2338762283325195,369000,0.0,0.0,0.0
2025-08-29,7.242497822077798,7.2856080945713675,7.225254206436404,7.259742259979248,257200,0.11,0.0,0.0
2025-09-02,7.225254255716083,7.251120090484619,7.190766201938013,7.251120090484619,279400,0.0,0.0,0.0
2025-09-03,7.259741704373302,7.311473369598388,7.259741704373302,7.311473369598389,246700,0.0,0.0,0.0
2025-09-04,7.32009496612815,7.345961618803601,7.32009496612815,7.337339401245117,175500,0.0,0.0,0.0
2025-09-05,7.345961618803601,7.363205231660644,7.32009496612815,7.337339401245117,364100,0.0,0.0,0.0
2025-09-08,7.311472748569667,7.341650510024359,7.302851353271107,7.337339401245117,495600,0.0,0.0,0.0
2025-09-09,7.328718007171898,7.406316329397674,7.328718007171898,7.397694110870361,283800,0.0,0.0,0.0
2025-09-10,7.406316707729022,7.423560323404473,7.389072269793514,7.414938926696777,389400,0.0,0.0,0.0
2025-09-11,7.4235596459555735,7.492535746882967,7.4235596459555735,7.48822546005249,222600,0.0,0.0,0.0
2025-09-12,7.4839149508972875,7.492536347509343,7.458048294280971,7.466670513153076,360400,0.0,0.0,0.0
2025-09-15,7.475292707322197,7.483914926165809,7.440804654207795,7.470981597900391,276600,0.0,0.0,0.0
2025-09-16,7.475291624048139,7.475291624048139,7.4063155278149315,7.432181358337402,331000,0.0,0.0,0.0
2025-09-17,7.440803575931535,7.466669406454006,7.432181358337402,7.432181358337402,335300,0.0,0.0,0.0
2025-09-18,7.458049297332764,7.492537355199522,7.432183459497735,7.458049297332764,319700,0.0,0.0,0.0
2025-09-19,7.5528914037437715,7.604623074828817,7.483915294123653,7.527024745941162,428300,0.0,0.0,0.0
2025-09-22,7.5356478183610305,7.561514479092148,7.518404200133799,7.544270038604736,759500,0.0,0.0,0.0
2025-09-23,7.5615126161196775,7.570134011979102,7.535645961761475,7.535645961761475,372200,0.0,0.0,0.0
2025-09-24,7.552890676880723,7.561512895318488,7.492535970076374,7.509780406951904,871200,0.0,0.0,0.0
2025-09-25,7.4752923554608515,7.509780406951904,7.458047918585321,7.509780406951904,233500,0.0,0.0,0.0
2025-09-26,7.5356478183610305,7.561514479092148,7.5270255981173255,7.544270038604736,367600,0.0,0.0,0.0
2025-09-29,7.570464839411139,7.605391979217529,7.553000853143595,7.605391979217529,363700,0.11,0.0,0.0
2025-09-30,7.6141228675842285,7.618488863517633,7.552999757245147,7.6141228675842285,325600,0.0,0.0,0.0
2025-10-01,7.640317767322198,7.675244900949386,7.614122625283946,7.649049758911133,295200,0.0,0.0,0.0
2025-10-02,7.675245761871338,7.675245761871338,7.605391486781502,7.675245761871338,387500,0.0,0.0,0.0
2025-10-03,7.6752453673699925,7.727636487358831,7.657782215859448,7.718904495239258,253400,0.0,0.0,0.0
2025-10-06,7.771295493348397,7.771295493348397,7.67524606943315,7.7538323402404785,208600,0.0,0.0,0.0
2025-10-07,7.762564635935108,7.780027789724172,7.723271498998828,7.736368656158447,245100,0.0,0.0,0.0
2025-10-08,7.780026444900029,7.780026444900029,7.692709025590631,7.710172176361084,347600,0.0,0.0,0.0
2025-10-09,7.692709901923981,7.727637040172262,7.692709901923981,7.714539051055908,190000,0.0,0.0,0.0
2025-10-10,7.727636253623919,7.771294547444065,7.675245135219735,7.683977127075195,561800,0.0,0.0,0.0
2025-10-14,7.701440276925865,7.814953672844436,7.675245134091911,7.801856517791748,384800,0.0,0.0,0.0
2025-10-15,7.823685020126215,7.858612151936793,7.797489879450407,7.832417011260986,300900,0.0,0.0,0.0
2025-10-16,7.832418027079882,7.832418027079882,7.701440641256829,7.732001781463623,409800,0.0,0.0,0.0
2025-10-17,7.718904261768459,7.732001416823072,7.683977127075195,7.683977127075195,314700,0.0,0.0,0.0
2025-10-20,7.727637044015841,7.766930178655783,7.727637044015841,7.762564182281494,296600,0.0,0.0,0.0
2025-10-21,7.771295070648193,7.780027063091537,7.75383191849014,7.771295070648193,179000,0.0,0.0,0.0
2025-10-22,7.7712953967166465,7.797491375145809,7.753832243825872,7.780027389526367,224700,0.0,0.0,0.0
2025-10-23,7.797490978526209,7.8411492748967975,7.797490978526209,7.823686122894287,214500,0.0,0.0,0.0
2025-10-24,7.841147987899487,7.884807109832764,7.841147987899487,7.884807109832764,221400,0.0,0.0,0.0
2025-10-27,7.9110033487810485,7.945930480957031,7.893539366328798,7.945930480957031,366500,0.0,0.0,0.0
2025-10-28,7.963394015432067,7.980857998728089,7.92846688156858,7.972126007080078,514300,0.0,0.0,0.0
2025-10-29,7.980859451783581,7.980859451783581,7.867346037878,7.902273178100586,592000,0.0,0.0,0.0
2025-10-30,7.911003112792969,7.937198252961417,7.884807139896029,7.911003112792969,437700,0.0,0.0,0.0
2025-10-31,7.93752222737447,7.959620513308413,7.866809398312685,7.946361541748047,147300,0.11,0.0,0.0
2025-11-03,7.946361099517262,8.02591323852539,7.928683314717327,8.02591323852539,198300,0.0,0.0,0.0
2025-11-04,7.964039142882696,8.008234866084523,7.937521203183617,7.972878456115723,295200,0.0,0.0,0.0
2025-11-05,7.981716744420377,8.021492810098886,7.964038961320645,7.999395370483398,279100,0.0,0.0,0.0
2025-11-06,7.97287893236025,8.025913128999692,7.950780647957686,7.990556716918945,338500,0.0,0.0,0.0
2025-11-07,7.981716631727094,7.981716631727094,7.893326031549835,7.964038848876953,713100,0.0,0.0,0.0
2025-11-10,8.008234024047852,8.012652837236436,7.964038305493044,8.008234024047852,398500,0.0,0.0,0.0
2025-11-11,7.99939387803134,8.06126737178156,7.99939387803134,8.04358959197998,300700,0.0,0.0,0.0
2025-11-12,8.061269792202316,8.167339031748789,8.061269792202316,8.158499717712402,247500,0.0,0.0,0.0
2025-11-13,8.176177276752252,8.220372998192216,8.10546445963362,8.12314224243164,620100,0.0,0.0,0.0
2025-11-14,8.096625439831277,8.13198184967041,8.02591262015301,8.13198184967041,358000,0.0,0.0,0.0
2025-11-17,8.131981075743289,8.149659700462019,8.070107575154182,8.105463981628418,307300,0.0,0.0,0.0
2025-11-18,8.0435917914293,8.109884958997979,8.034752477629912,8.087786674499512,248900,0.0,0.0,0.0
2025-11-19,8.114302516673675,8.114302516673675,8.034750398986578,8.078946113586426,358200,0.0,0.0,0.0
2025-11-20,8.149660250085958,8.149660250085958,8.0435910235098,8.06126880645752,384100,0.0,0.0,0.0
2025-11-21,8.114303522509667,8.176177024841309,8.087785584684752,8.176177024841309,445200,0.0,0.0,0.0
2025-11-24,8.211533546447754,8.229212171910088,8.158498513024009,8.211533546447754,374200,0.0,0.0,0.0
2025-11-25,8.22037319612861,8.31760311126709,8.22037319612861,8.31760311126709,444200,0.0,0.0,0.0
2025-11-26,8.352960586547852,8.352960586547852,8.31760417262558,8.352960586547852,464100,0.0,0.0,0.0
2025-11-27,8.38831633771807,8.38831633771807,8.34412061306624,8.361799240112305,327600,0.0,0.0,0.0
2025-11-28,8.361797450179637,8.406512260437012,8.334967540568808,8.406512260437012,173400,0.11,0.0,0.0
2025-12-01,8.370740561943656,8.370740561943656,8.2589518217062,8.281310081481934,574300,0.0,0.0,0.0
2025-12-02,8.317083611338642,8.339441021371279,8.281311243558111,8.326026916503906,186200,0.0,0.0,0.0
2025-12-03,8.379684235538303,8.388627539843146,8.299196202555601,8.334968566894531,306000,0.0,0.0,0.0
2025-12-04,8.361799303364581,8.469116406951056,8.334969387807568,8.442286491394043,491100,0.0,0.0,0.0
2025-12-05,8.451230703122382,8.478059768676758,8.433344943713005,8.478059768676758,279900,0.0,0.0,0.0
2025-12-08,8.495946103346252,8.495946103346252,8.442287121110292,8.464645385742188,357000,0.0,0.0,0.0
2025-12-09,8.495943035453394,8.558544448056097,8.48699973283007,8.531715393066406,243700,0.0,0.0,0.0
