Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-06-16,7548.77978515625,7564.9599609375,7508.68017578125,7511.35009765625,5286210000,0.0,0.0
2026-06-17,7524.5,7532.169921875,7402.60986328125,7420.10009765625,5883740000,0.0,0.0
2026-06-18,7487.35986328125,7511.06982421875,7468.31982421875,7500.580078125,9061110000,0.0,0.0
2026-06-22,7500.43994140625,7530.009765625,7460.009765625,7472.7900390625,5976740000,0.0,0.0
2026-06-23,7366.509765625,7424.169921875,7347.60009765625,7365.4599609375,5640530000,0.0,0.0
2026-06-24,7370.8798828125,7428.06005859375,7336.81982421875,7358.22021484375,5994860000,0.0,0.0
2026-06-25,7404.91015625,7419.080078125,7323.5,7357.490234375,5565760000,0.0,0.0
2026-06-26,7312.740234375,7392.9501953125,7294.18017578125,7354.02001953125,9105600000,0.0,0.0
2026-06-29,7391.8798828125,7444.31982421875,7348.8798828125,7440.43017578125,5794570000,0.0,0.0
2026-06-30,7441.27001953125,7508.2900390625,7438.0400390625,7499.35986328125,6037540000,0.0,0.0
2026-07-01,7478.83984375,7521.81005859375,7449.6298828125,7483.22998046875,5782730000,0.0,0.0
2026-07-02,7495.14013671875,7540.75,7427.5498046875,7483.240234375,5463520000,0.0,0.0
2026-07-06,7506.9599609375,7551.31005859375,7500.97021484375,7537.43017578125,4971110000,0.0,0.0
2026-07-07,7516.6298828125,7536.06005859375,7478.6298828125,7503.85009765625,5049590000,0.0,0.0
2026-07-08,7476.5400390625,7488.509765625,7421.81982421875,7482.7099609375,5102020000,0.0,0.0
2026-07-09,7491.60009765625,7546.89013671875,7481.72998046875,7543.64013671875,4442950000,0.0,0.0
2026-07-10,7547.64013671875,7579.93017578125,7508.16015625,7575.39013671875,4006370000,0.0,0.0
2026-07-13,7547.52978515625,7565.3701171875,7506.41015625,7515.33984375,4729990000,0.0,0.0
2026-07-14,7536.7001953125,7557.43994140625,7513.22998046875,7543.58984375,4836950000,0.0,0.0
2026-07-15,7571.72021484375,7581.5,7526.9501953125,7572.39990234375,5236550000,0.0,0.0
2026-07-16,7558.7998046875,7570.740234375,7504.02001953125,7533.77001953125,5365300000,0.0,0.0
2026-07-17,7447.52001953125,7498.47021484375,7431.259765625,7457.68994140625,5303290000,0.0,0.0
2026-07-20,7489.18017578125,7513.22998046875,7440.52978515625,7443.27978515625,5152910000,0.0,0.0
